Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE62256_11	AT1G02580	1.07745321384055	0.0183240100558498	GSM1524143,GSM1524144,GSM1524145 / GSM1524134,GSM1524135,GSM1524136	Arabidopsis_Fcs_infiltrated_2day / Arabidopsis_Col-0_infiltrated_2day	Pst DC3000 infiltration	Infiltrated with Pst DC3000	4 weeks old leaves	Treatment,,,,
GSE59699_4	AT1G02580	1.0685299816695	0.0425046155098204	GSM1443129,GSM1443130 / GSM1443131,GSM1443132	col_24h_lbl / col_24h_wl	Blue light treatment	low_blue_light / white_light	5 day-old whole seedlings	Treatment,,,,,,
GSE72461_6	AT1G02580	1.0588936890535698	0.0470310476583738	GSM1862912 / GSM1862909	jaz5/10_12h / jaz5/10_non_induced	Pst DC3000 infection	Pst_DC3000_infection_for_12h / non_induced	4.5 weeks old leaves	Treatment,,,,,,,,
GSE77017_13	AT1G02580	1.0119671817592901	0.0219610708134132	GSM2042545,GSM2042546,GSM2042547 / GSM2042533,GSM2042534,GSM2042535	cat2shr_24h_photorespiratory_stress / cat2shr_0h_photorespiratory_stress	Photorespiratory stress	photorespiratory_stress / no_treatment	3 week-old seedlings	Treatment,,,,
GSE74515_2	AT1G02580	-1.0266421356575	0.00246667851627165	GSM1922040,GSM1922041,GSM1922042 / GSM1922034,GSM1922035,GSM1922036	WT1_WCK_wild_type_under_-Fe / WT1_WFE_wild_type_under_+Fe	Fe-deficiency	without_Fe / with_Fe	7 day-old shoots	Treatment,,,,
GSE62256_2	AT1G02580	-1.03401914464062	0.00554295894910479	GSM1524143,GSM1524144,GSM1524145 / GSM1524140,GSM1524141,GSM1524142	Arabidopsis_Fcs_infiltrated_2day / Arabidopsis_Fcs_infiltrated_1day	Pst DC3000 infiltration	Infiltrated with Pst DC3000	4 weeks old leaves	Treatment,,,,
GSE74515_3	AT1G02580	-1.19716723428376	0.000125767477672254	GSM1922043,GSM1922044,GSM1922045 / GSM1922037,GSM1922038,GSM1922039	P1_PCK_phytoalexin_deficient_4_under_-Fe / P1_PFE_phytoalexin_deficient_4_under_+Fe	Fe-deficiency	without_Fe / with_Fe	7 day-old shoots	Treatment,,,,
GSE58552_0	AT1G02580	-1.20945336562895	0.00558642565800295	GSM1413821,GSM1413822 / GSM1413819,GSM1413820	WT-BL / WT-D	Blut light treatment	blue_light / dark	4.5 day-old seedlings	Treatment,,,,,,
GSE74972_0	AT1G02580	-1.39775950784701	1.56759084924373e-06	GSM1939312,GSM1939313 / GSM1939314,GSM1939315	Col-0_P+ / Col-0_P-	Phosphate sufficiency	Phosphate_sufficiency / Phosphate_deficiency	8 day-old roots	Treatment,,,,,,
GSE62256_7	AT1G02580	-1.63111852247249	0.000237835107752433	GSM1524164,GSM1524165,GSM1524166 / GSM1524158,GSM1524159,GSM1524160	Arabidopsis_Fsc_infiltrated_3day / Arabidopsis_Fsc_infiltrated_1day	Pst DC3000 infiltration	Infiltrated with Pst DC3000	4 weeks old leaves	Treatment,,,,
GSE72770_0	AT1G02580	-1.79141337818858	0.0398661475564029	GSM1870026 / GSM1870028	Shoot_+Pit_7_dat / Shoot_-Pit_7_dat	Phosphate treatment	high_phosphate / low_phosphate	Shoots	Treatment,,,,,,,,
GSE20586_5	AT1G02580	-1.98743857515699	0.00249619857357402	GSM517082,GSM517083,GSM517084 / GSM517079,GSM517080,GSM517081	VND6_12h / VND6_0h	Estrogen treatment	Cultured cells were treated with 2 uM estrogen for 0h or 12h	Culture cells	Treatment,,,,
GSE80462_0	AT1G02580	-2.1119804962564497	0.00985741897091428	GSM2127777,GSM2127778,GSM2127779 / GSM2127783,GSM2127784,GSM2127785	ColxMN47_Cold / ColxMN47_Standard	Cold stress	4_degree_for_1h / no_treatment	4 week-old rossete	Treatment,,,,
GSE62256_3	AT1G02580	-2.1267126526156397	3.86216084704862e-06	GSM1524146,GSM1524147,GSM1524148 / GSM1524140,GSM1524141,GSM1524142	Arabidopsis_Fcs_infiltrated_3day / Arabidopsis_Fcs_infiltrated_1day	Pst DC3000 infiltration	Infiltrated with Pst DC3000	4 weeks old leaves	Treatment,,,,
GSE80462_1	AT1G02580	-2.59236085894067	0.0212629860475774	GSM2127780,GSM2127782 / GSM2127783,GSM2127784,GSM2127785	ColxMN47_Dehydration / ColxMN47_Standard	Drought stress	dehydration_for_1h / no_treatment	4 week-old rossete	Treatment,,,,,
GSE20586_4	AT1G02580	-2.7652914248927702	0.000981596697243994	GSM517088,GSM517089,GSM517090 / GSM517085,GSM517086,GSM517087	SND1_12h / SND1_0h	Estrogen treatment	Cultured cells were treated with 2 uM estrogen for 0h or 12h	Culture cells	Treatment,,,,
GSE18978_6	AT1G02580	-3.28031080818489	8.897228491084551e-06	GSM469760,GSM469761,GSM469762 / GSM469763,GSM469764,GSM469765	Mitra_2_Col0-mock-24hpi / Mitra_2_Col0-PsmES4326-24hpi	Pathogen response	Pseudomonas_syringae_ES4326_streated_for_24h / mock_for_24h	4 week-old leaves	Treatment,,,,
GSE41432_4	AT1G02580	3.99569278817415	0.00020190424825447	GSM1017159,GSM1017165 / GSM1017157,GSM1017163	NMD_UPF1UPF3 / NMD_UPF1	upf3	No treatment	11 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE57145_3	AT1G02580	3.8196780354159303	8.80279687876179e-06	GSM1375957,GSM1375958,GSM1375959 / GSM1375951,GSM1375952,GSM1375953	Time-0_chr11-1chr17-1 / Time-0_Col-0	chr11,chr17	Leaf explants cultured in CIM for 0 day	Leaf explants	Mutation_or_Overexpression,,,
GSE41432_2	AT1G02580	3.6895719074959397	5.868483825422101e-11	GSM1017159,GSM1017165 / GSM1017156,GSM1017162	NMD_UPF1UPF3 / NMD_WT	utf1,utf3	No treatment	11 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE41432_5	AT1G02580	3.6302350941533397	3.76088710506926e-10	GSM1017159,GSM1017165 / GSM1017158,GSM1017164	NMD_UPF1UPF3 / NMD_UPF3	upf1	No treatment	11 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE43983_1	AT1G02580	3.47130571892559	0.000374072664208338	GSM1076103 / GSM1076099	clf28_leaves / wt_leaves	clf28	Under long day 	2 week-old leaves	Mutation_or_Overexpression,,,,,,,,
GSE75071_1	AT1G02580	3.00862249333241	0.004206254321068171	GSM1942143,GSM1942144,GSM1942145,GSM1942146,GSM1942147 / GSM1942140,GSM1942141,GSM1942142	met1_sdg78 / WT	met1,sdg7,sdg8	No treatment	Aerial tissue	Mutation_or_Overexpression
GSE57145_2	AT1G02580	3.00369192724168	1.17625025926625e-05	GSM1375960,GSM1375961,GSM1375962 / GSM1375954,GSM1375955,GSM1375956	8-DAC_chr11-1chr17-1 / 8-DAC_Col-0	chr11,chr17	Leaf explants cultured in CIM for 8 days	Leaf explants	Mutation_or_Overexpression,,,
GSE25396_1	AT1G02580	2.4837727650239905	0.00683419123743564	GSM830737,GSM830738,GSM830739 / GSM617578,GSM617579,GSM617580	AtGATA2overexpression / Col	GATA2	Dark for 108 hours	14 day-old seedlings	Mutation_or_Overexpression,,,,
GSE61545_1	AT1G02580	2.1274280641447	9.48306174288114e-09	GSM1507959,GSM1507960,GSM1507961 / GSM1507947,GSM1507948,GSM1507949	clf28_shoots / WT_shoots	clf28	No treatment	2 week-old shoots	Mutation_or_Overexpression,,,,
GSE77395_0	AT1G02580	1.70855452191327	0.000596579578254244	GSM2051307,GSM2051308 / GSM2051305,GSM2051306	ENAP1ox_4_hour_air / Col-0_4_hour_air	ENAP1	air treatment for 4h	3 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE77017_5	AT1G02580	1.65748908616295	6.08265650863015e-05	GSM2042545,GSM2042546,GSM2042547 / GSM2042536,GSM2042537,GSM2042538	cat2shr_24h_photorespiratory_stress / Col-0_24h_photorespiratory_stress	cat2shr	Photorespiratory stress for 24h	3 week-old seedlings	Mutation_or_Overexpression,,,,
GSE77017_9	AT1G02580	1.3607473437778899	0.00038063889098846203	GSM2042545,GSM2042546,GSM2042547 / GSM2042542,GSM2042543,GSM2042544	cat2shr_24h_photorespiratory_stress / shr_24h_photorespiratory_stress	cat2	Photorespiratory stress for 24h	3 week-old seedlings	Mutation_or_Overexpression,,,,
GSE74551_5	AT1G02580	1.3278445340721299	0.0077643727528196906	GSM1922748,GSM1922749,GSM1922750 / GSM1922736,GSM1922737,GSM1922738	ddm1C24 / C24	ddm1	No treatment	2 week-old whole seedling	Mutation_or_Overexpression,,,,
GSE77017_3	AT1G02580	1.2559290180585	0.0097142148114645	GSM2042539,GSM2042540,GSM2042541 / GSM2042536,GSM2042537,GSM2042538	cat2_24h_photorespiratory_stress / Col-0_24h_photorespiratory_stress	cat2	Photorespiratory stress for 24h	3 week-old seedlings	Mutation_or_Overexpression,,,,
GSE67322_1	AT1G02580	1.2495195993593102	0.008107143143524259	GSM1644825 / GSM1644823,GSM1891779	tfl2_2 / Col	tfl2	No treatment	2 week old seedlings without roots	Mutation_or_Overexpression,,,,,,,
GSE25489_2	AT1G02580	-1.39105397671938	0.00824691758029641	GSM626544,GSM626545,GSM626546 / GSM626538,GSM626539,GSM626540	4tga_safener_treated / Col0_safener_treated	tga2,tga3,tga5,tga6	safener treatment	4 week-old rosette leaves	Mutation_or_Overexpression,
GSE74551_9	AT1G02580	-1.5000842582650802	0.000455238664206042	GSM1922745,GSM1922746,GSM1922747 / GSM1922748,GSM1922749,GSM1922750	ddm1C24Xddm1Col / ddm1C24	ddm1Col	No treatment	2 week-old whole seedling	Mutation_or_Overexpression,,,,
GSE18978_3	AT1G02580	-1.5828037391453302	0.00297135965545602	GSM469772,GSM469773,GSM469774 / GSM469763,GSM469764,GSM469765	Mitra_2_pad2-PsmES4326-24hpi / Mitra_2_Col0-PsmES4326-24hpi	pad2	Pseudomonas syringae ES4326 streated for 24h	4 week-old leaves	Mutation_or_Overexpression,,,,
GSE74551_8	AT1G02580	-1.81427353288465	4.67034809437192e-05	GSM1922742,GSM1922743,GSM1922744 / GSM1922748,GSM1922749,GSM1922750	ddm1ColXddm1C24 / ddm1C24	ddm1Col	No treatment	2 week-old whole seedling	Mutation_or_Overexpression,,,,
GSE18978_4	AT1G02580	-2.54234524470357	0.00016074211408108	GSM469775,GSM469776,GSM469777 / GSM469763,GSM469764,GSM469765	Mitra_2_pad4-PsmES4326-24hpi / Mitra_2_Col0-PsmES4326-24hpi	pad4	Pseudomonas syringae ES4326 streated for 24h	4 week-old leaves	Mutation_or_Overexpression,,,,
GSE17479_16	AT1G02580	-2.9851954347546297	0.0063858503529558	GSM435947,GSM435962,GSM435977 / GSM435935,GSM435950,GSM435965	miR393_flg22_2h / WT_flg22_2h	miR393	flg22 2h	5 weeks old leaves on short day	Mutation_or_Overexpression,,,,
